KING-SASSLY LEADERBOARD
========================================

 1. Smithy               +109 pts
 2. Matt                 +91 pts
 3. Thom                 +72 pts
 4. KingySmurf           +44 pts
 5. Bonzaro              +43 pts
 6. Pet poo bum bum boy  +21 pts
 7. Was                  +8 pts
 8. Rowave               +5 pts
 9. Irishman             -1 pts
10. Sheep                -17 pts
11. I.C.B.M              -22 pts
12. Big D Digby          -46 pts
13. Sssmookin            -165 pts
14. Dreamer              -401 pts
